Designator,Mid X,Mid Y,Rotation,Layer
_5,160.0,-62.6,0.0,top
_4,149.4,-76.0,0.0,top
_3,158.6,-62.6,0.0,top
_2,160.0,-64.2,0.0,top
,159.3,-63.35,0.0,top
AE1,161.075,-57.875,90.0,top
C1,156.1125,-61.53,90.0,top
C11,132.005001,-80.480003,90.0,top
C2,155.15,-61.532499,90.0,top
C3,132.525,-77.400002,0.0,top
C4,157.675,-68.555,90.0,top
C5,161.12,-66.6,180.0,top
C6,157.95,-59.692499,270.0,top
C7,151.12,-76.0,0.0,top
C8,157.262499,-74.63,270.0,top
CN2,135.555002,-79.4,270.0,bottom
J1,124.265,-70.2,270.0,top
L1,158.475,-66.875,180.0,top
R1,130.280001,-68.92,0.0,top
R2,130.280001,-71.92,0.0,top
R3,122.715,-78.200002,180.0,top
R5,129.713628,-61.509999,90.0,top
R6,129.713628,-56.709999,90.0,top
SW1,126.044999,-62.0,0.0,top
SW2,126.044999,-57.2,0.0,top
U1,142.35,-60.76,0.0,top
U2,159.3,-63.35,90.0,top
U3,154.6,-76.0,180.0,top
U4,155.400025,-80.999975,90.0,top
U6,142.99,-77.0,90.0,bottom
U8,127.655,-79.235002,270.0,top
Y1,154.975,-64.3875,0.0,top
